# VulnTrends — Vulnerabilities discovered (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
2007-10,Oracle,34
2007-11,Adobe,2
2007-11,Apple,12
2007-11,Cisco,1
2007-11,Microsoft,2
2007-11,Mozilla,3
2007-11,Oracle,3
2007-12,Adobe,5
2007-12,Apple,6
2007-12,Cisco,2
2007-12,Microsoft,15
2007-12,Oracle,5
2008-01,Adobe,1
2008-01,Apple,7
2008-01,Cisco,3
2008-01,Microsoft,13
2008-01,Oracle,12
2008-02,Adobe,10
2008-02,Apple,6
2008-02,Cisco,7
2008-02,Microsoft,16
2008-02,Mozilla,2
2008-02,Oracle,4
2008-03,Adobe,7
2008-03,Apple,15
2008-03,Cisco,4
2008-03,Microsoft,15
2008-03,Mozilla,10
2008-04,Adobe,6
2008-04,Apple,19
2008-04,Cisco,2
2008-04,Microsoft,11
2008-04,Mozilla,2
2008-04,Oracle,21
2008-05,Adobe,1
2008-05,Apple,1
2008-05,Cisco,17
2008-05,Microsoft,8
2008-05,Oracle,2
2008-06,Adobe,3
2008-06,Apple,10
2008-06,Cisco,4
2008-06,Microsoft,10
2008-06,Oracle,1
2008-07,Adobe,1
2008-07,Apple,8
2008-07,Microsoft,12
2008-07,Mozilla,4
2008-07,Oracle,45
2008-08,Adobe,3
2008-08,Apple,7
2008-08,Cisco,1
2008-08,Microsoft,23
2008-08,Oracle,1
2008-09,Adobe,1
2008-09,Apple,17
2008-09,Cisco,3
2008-09,Microsoft,17
2008-09,Mozilla,17
2008-09,Oracle,3
2008-10,Adobe,8
2008-10,Apple,4
2008-10,Cisco,5
2008-10,Microsoft,18
2008-10,Oracle,37
2008-11,Adobe,17
2008-11,Apple,8
2008-11,Cisco,1
2008-11,Microsoft,10
2008-11,Mozilla,15
2008-11,Oracle,1
2008-12,Adobe,6
2008-12,Apple,4
2008-12,Microsoft,63
2008-12,Mozilla,13
2009-01,Apple,14
2009-01,Cisco,3
2009-01,Microsoft,11
2009-01,Oracle,41
