# VulnTrends — Vulnerability backlog (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,openCount
2004-12,Adobe,22
2004-12,Apple,56
2004-12,Cisco,92
2004-12,Microsoft,711
2004-12,Oracle,159
2004-12,Samsung,1
2005-01,Adobe,24
2005-01,Apple,62
2005-01,Cisco,96
2005-01,Microsoft,716
2005-01,Oracle,161
2005-01,Samsung,1
2005-02,Adobe,24
2005-02,Apple,63
2005-02,Cisco,98
2005-02,Microsoft,720
2005-02,Oracle,162
2005-02,Samsung,1
2005-03,Adobe,24
2005-03,Apple,65
2005-03,Cisco,99
2005-03,Microsoft,721
2005-03,Oracle,164
2005-03,Samsung,1
2005-04,Adobe,24
2005-04,Apple,65
2005-04,Cisco,99
2005-04,Microsoft,724
2005-04,Oracle,165
2005-04,Samsung,1
2005-05,Adobe,28
2005-05,Apple,80
2005-05,Cisco,103
2005-05,Microsoft,749
2005-05,Oracle,185
2005-05,Samsung,1
2005-06,Adobe,30
2005-06,Apple,82
2005-06,Cisco,103
2005-06,Microsoft,757
2005-06,Oracle,185
2005-06,Samsung,1
2005-07,Adobe,32
2005-07,Apple,84
2005-07,Cisco,105
2005-07,Microsoft,769
2005-07,Oracle,194
2005-07,Samsung,1
2005-08,Adobe,35
2005-08,Apple,90
2005-08,Cisco,108
2005-08,Microsoft,774
2005-08,Oracle,198
2005-08,Samsung,1
2005-09,Adobe,35
2005-09,Apple,91
2005-09,Cisco,108
2005-09,Microsoft,776
2005-09,Oracle,199
2005-09,Samsung,1
2005-10,Adobe,35
2005-10,Apple,93
2005-10,Cisco,108
2005-10,Microsoft,781
2005-10,Oracle,205
2005-10,Samsung,1
2005-11,Adobe,35
2005-11,Apple,99
2005-11,Cisco,111
2005-11,Microsoft,782
2005-11,Oracle,236
2005-11,Samsung,1
2005-12,Adobe,37
2005-12,Apple,109
2005-12,Cisco,115
2005-12,Microsoft,800
2005-12,Oracle,239
2005-12,Samsung,1
2006-01,Adobe,37
2006-01,Apple,109
2006-01,Cisco,115
2006-01,Microsoft,804
2006-01,Oracle,279
2006-01,Samsung,1
2006-02,Adobe,38
2006-02,Apple,109
2006-02,Cisco,115
2006-02,Microsoft,814
2006-02,Oracle,287
2006-02,Samsung,1
2006-03,Adobe,39
2006-03,Apple,111
2006-03,Cisco,115
2006-03,Microsoft,829
2006-03,Oracle,291
2006-03,Samsung,1
2006-04,Adobe,45
2006-04,Apple,116
2006-04,Cisco,120
2006-04,Microsoft,846
2006-04,Oracle,314
2006-04,Samsung,1
2006-05,Adobe,46
2006-05,Apple,128
2006-05,Cisco,124
2006-05,Microsoft,853
2006-05,Oracle,318
2006-05,Samsung,1
2006-06,Adobe,47
2006-06,Apple,130
2006-06,Cisco,126
2006-06,Microsoft,873
2006-06,Oracle,320
2006-06,Samsung,1
2006-07,Adobe,51
2006-07,Apple,132
2006-07,Cisco,132
2006-07,Microsoft,921
2006-07,Oracle,349
2006-07,Samsung,1
2006-08,Adobe,52
2006-08,Apple,133
2006-08,Cisco,133
2006-08,Microsoft,940
2006-08,Oracle,352
2006-08,Samsung,1
2006-09,Adobe,57
2006-09,Apple,141
2006-09,Cisco,135
2006-09,Microsoft,950
2006-09,Mozilla,1
2006-09,Oracle,352
2006-09,Samsung,1
2006-10,Adobe,62
2006-10,Apple,143
2006-10,Cisco,138
2006-10,Microsoft,974
2006-10,Mozilla,1
2006-10,Oracle,400
2006-10,Samsung,1
2006-11,Adobe,63
2006-11,Apple,145
2006-11,Cisco,142
2006-11,Microsoft,982
2006-11,Mozilla,1
2006-11,Oracle,400
2006-11,Samsung,1
2006-12,Adobe,68
2006-12,Apple,147
2006-12,Cisco,144
2006-12,Microsoft,1010
2006-12,Mozilla,1
2006-12,Oracle,403
2006-12,Samsung,1
2007-01,Adobe,73
2007-01,Apple,161
2007-01,Cisco,149
2007-01,Microsoft,1029
2007-01,Mozilla,2
2007-01,Oracle,436
2007-01,Samsung,1
2007-02,Adobe,76
2007-02,Apple,166
2007-02,Cisco,154
2007-02,Microsoft,1052
2007-02,Mozilla,1
2007-02,Oracle,436
2007-02,Samsung,1
2007-03,Adobe,78
2007-03,Apple,176
2007-03,Cisco,155
2007-03,Microsoft,1061
2007-03,Mozilla,1
2007-03,Oracle,444
2007-03,Samsung,1
2007-04,Adobe,83
2007-04,Apple,180
2007-04,Cisco,160
2007-04,Microsoft,1069
2007-04,Mozilla,2
2007-04,Oracle,473
2007-04,Samsung,1
2007-05,Adobe,85
2007-05,Apple,187
2007-05,Cisco,161
2007-05,Microsoft,1096
2007-05,Mozilla,2
2007-05,Oracle,478
2007-05,Samsung,1
2007-06,Adobe,85
2007-06,Apple,198
2007-06,Cisco,162
2007-06,Microsoft,1120
2007-06,Mozilla,2
2007-06,Oracle,479
2007-06,Samsung,1
2007-07,Adobe,88
2007-07,Apple,209
2007-07,Cisco,167
2007-07,Microsoft,1139
2007-07,Mozilla,3
2007-07,Oracle,498
2007-07,Samsung,2
2007-08,Adobe,89
2007-08,Apple,223
2007-08,Cisco,174
2007-08,Microsoft,1156
2007-08,Mozilla,3
2007-08,Oracle,499
2007-08,Samsung,2
2007-09,Adobe,91
2007-09,Apple,233
2007-09,Cisco,177
2007-09,Microsoft,1166
2007-09,Mozilla,2
2007-09,Oracle,500
2007-09,Samsung,2
2007-10,Adobe,94
2007-10,Apple,235
2007-10,Cisco,181
2007-10,Microsoft,1178
2007-10,Mozilla,1
2007-10,Oracle,534
2007-10,Samsung,2
2007-11,Adobe,96
2007-11,Apple,247
2007-11,Cisco,182
2007-11,Microsoft,1180
2007-11,Mozilla,1
2007-11,Oracle,537
2007-11,Samsung,2
2007-12,Adobe,101
2007-12,Apple,253
2007-12,Cisco,184
2007-12,Microsoft,1195
2007-12,Oracle,542
2007-12,Samsung,2
2008-01,Adobe,102
2008-01,Apple,260
2008-01,Cisco,187
2008-01,Microsoft,1208
2008-01,Oracle,554
2008-01,Samsung,2
2008-02,Adobe,112
2008-02,Apple,266
2008-02,Cisco,194
2008-02,Microsoft,1224
2008-02,Oracle,558
2008-02,Samsung,2
2008-03,Adobe,119
2008-03,Apple,281
2008-03,Cisco,198
2008-03,Microsoft,1239
2008-03,Oracle,558
2008-03,Samsung,2
2008-04,Adobe,125
2008-04,Apple,300
2008-04,Cisco,200
2008-04,Microsoft,1250
2008-04,Oracle,579
2008-04,Samsung,2
2008-05,Adobe,126
2008-05,Apple,301
2008-05,Cisco,217
2008-05,Microsoft,1258
2008-05,Oracle,581
2008-05,Samsung,2
2008-06,Adobe,129
2008-06,Apple,311
2008-06,Cisco,221
2008-06,Microsoft,1268
2008-06,Oracle,582
2008-06,Samsung,2
2008-07,Adobe,130
2008-07,Apple,319
2008-07,Cisco,221
2008-07,Microsoft,1280
2008-07,Oracle,627
2008-07,Samsung,2
2008-08,Adobe,133
2008-08,Apple,326
2008-08,Cisco,222
2008-08,Microsoft,1303
2008-08,Oracle,628
2008-08,Samsung,2
2008-09,Adobe,134
2008-09,Apple,343
2008-09,Cisco,225
2008-09,Microsoft,1320
2008-09,Oracle,631
2008-09,Samsung,2
2008-10,Adobe,142
2008-10,Apple,347
2008-10,Cisco,230
2008-10,Microsoft,1338
2008-10,Oracle,668
2008-10,Samsung,2
2008-11,Adobe,159
2008-11,Apple,355
2008-11,Cisco,231
2008-11,Microsoft,1348
2008-11,Oracle,669
2008-11,Samsung,2
2008-12,Adobe,165
2008-12,Apple,359
2008-12,Cisco,231
2008-12,Microsoft,1411
2008-12,Oracle,669
2008-12,Samsung,2
2009-01,Adobe,165
2009-01,Apple,373
2009-01,Cisco,234
